# Frequency (Hz), SPL (dB), Phase (degrees)
20.000000, 0.427367, 0
20.299999, 0.448256, 0
20.600000, 0.468844, 0
20.900000, 0.489193, 0
21.200001, 0.508762, 0
21.400000, 0.519702, 0
21.799999, 0.540191, 0
22.000000, 0.550337, 0
22.400000, 0.570435, 0
22.700001, 0.585268, 0
23.000000, 0.599879, 0
23.299999, 0.614318, 0
23.600000, 0.628586, 0
24.000000, 0.645998, 0
24.299999, 0.657890, 0
24.700001, 0.673562, 0
25.000000, 0.685202, 0
25.400000, 0.700455, 0
25.799999, 0.715487, 0
26.200001, 0.730232, 0
26.500000, 0.741192, 0
26.900000, 0.755143, 0
27.200001, 0.765034, 0
27.600000, 0.778131, 0
28.000000, 0.791018, 0
28.500000, 0.806848, 0
29.000000, 0.822423, 0
29.500000, 0.837793, 0
30.000000, 0.852601, 0
30.400000, 0.860205, 0
30.700001, 0.865855, 0
31.100000, 0.873193, 0
31.500000, 0.880532, 0
32.000000, 0.889539, 0
32.500000, 0.898400, 0
33.000000, 0.907122, 0
33.500000, 0.915708, 0
34.000000, 0.924163, 0
34.500000, 0.932490, 0
35.000000, 0.940693, 0
35.500000, 0.948875, 0
36.000000, 0.956839, 0
36.500000, 0.964690, 0
37.000000, 0.972517, 0
37.500000, 0.980162, 0
38.200001, 0.989641, 0
38.700001, 0.995859, 0
39.500000, 1.005561, 0
40.000000, 1.011606, 0
40.599998, 1.018691, 0
41.200001, 1.025664, 0
41.799999, 1.032572, 0
42.500000, 1.039969, 0
43.099998, 1.043122, 0
43.700001, 1.046241, 0
44.400002, 1.049845, 0
45.000000, 1.052845, 0
45.500000, 1.055402, 0
46.200001, 1.058797, 0
46.799999, 1.061764, 0
47.500000, 1.065129, 0
48.200001, 1.068889, 0
48.700001, 1.071625, 0
49.400002, 1.075392, 0
50.000000, 1.078581, 0
50.799999, 1.082763, 0
51.500000, 1.086414, 0
52.200001, 1.089950, 0
53.000000, 1.093997, 0
53.799999, 1.098124, 0
54.500000, 1.101943, 0
55.200001, 1.105721, 0
56.000000, 1.109865, 0
57.000000, 1.115095, 0
58.000000, 1.120134, 0
59.000000, 1.125172, 0
60.000000, 1.130100, 0
60.799999, 1.133072, 0
61.500000, 1.135693, 0
62.200001, 1.138213, 0
63.000000, 1.141131, 0
64.000000, 1.144695, 0
65.000000, 1.148200, 0
66.000000, 1.151705, 0
67.000000, 1.155101, 0
68.000000, 1.156594, 0
69.000000, 1.157300, 0
70.000000, 1.157900, 0
71.000000, 1.158500, 0
72.000000, 1.159100, 0
73.000000, 1.159700, 0
74.000000, 1.160300, 0
75.000000, 1.160863, 0
76.199997, 1.161022, 0
77.500000, 1.160600, 0
78.800003, 1.160180, 0
80.000000, 1.159800, 0
81.199997, 1.159419, 0
82.500000, 1.159015, 0
83.800003, 1.158680, 0
85.000000, 1.158400, 0
86.199997, 1.158880, 0
87.500000, 1.159400, 0
88.500000, 1.159800, 0
90.000000, 1.160400, 0
91.199997, 1.160880, 0
92.500000, 1.161400, 0
93.800003, 1.161834, 0
95.000000, 1.162300, 0
96.199997, 1.162881, 0
97.500000, 1.163500, 0
98.800003, 1.164132, 0
100.000000, 1.164600, 0
101.500000, 1.165300, 0
103.000000, 1.166000, 0
104.400002, 1.166554, 0
106.000000, 1.167300, 0
107.500000, 1.166600, 0
109.000000, 1.163898, 0
110.599998, 1.161036, 0
112.000000, 1.158570, 0
113.800003, 1.155417, 0
115.000000, 1.153406, 0
117.199997, 1.149685, 0
118.000000, 1.148296, 0
120.599998, 1.144861, 0
122.000000, 1.144600, 0
124.099998, 1.144208, 0
125.000000, 1.144100, 0
126.500000, 1.143800, 0
128.000000, 1.143500, 0
131.500000, 1.142900, 0
132.000000, 1.142800, 0
134.000000, 1.142500, 0
136.000000, 1.143463, 0
138.000000, 1.145100, 0
140.000000, 1.146698, 0
143.000000, 1.149205, 0
145.000000, 1.150696, 0
