# Frequency (Hz), SPL (dB), Phase (degrees)
20.299999, 93.490952, -149.8431
20.600000, 93.509949, -150.2355
20.900000, 93.526291, -150.5540
21.200001, 93.547249, -150.8730
21.400000, 93.564209, -151.1040
21.799999, 93.600418, -151.6233
22.000000, 93.617142, -151.9047
22.400000, 93.644585, -152.4727
22.700001, 93.660339, -152.8648
23.000000, 93.675217, -153.2109
23.299999, 93.692680, -153.5173
23.600000, 93.714737, -153.8068
24.000000, 93.749695, -154.2136
24.299999, 93.775818, -154.5511
24.700001, 93.804214, -155.0310
25.000000, 93.819061, -155.3838
25.400000, 93.832726, -155.8058
25.799999, 93.845970, -156.1605
26.200001, 93.864120, -156.4772
26.500000, 93.881104, -156.7186
26.900000, 93.904762, -157.0718
27.200001, 93.920502, -157.3625
27.600000, 93.936592, -157.7650
28.000000, 93.948105, -158.1564
28.500000, 93.961685, -158.5994
29.000000, 93.980347, -158.9944
29.500000, 94.004234, -159.3685
30.000000, 94.028275, -159.7419
30.400000, 94.044746, -160.0398
30.700001, 94.055191, -160.2601
31.100000, 94.067451, -160.5493
31.500000, 94.079247, -160.8370
32.000000, 94.094437, -161.2014
32.500000, 94.109726, -161.5686
33.000000, 94.124504, -161.9236
33.500000, 94.139168, -162.2558
34.000000, 94.154037, -162.5717
34.500000, 94.167908, -162.8850
35.000000, 94.179108, -163.1993
35.500000, 94.187759, -163.5064
36.000000, 94.196281, -163.8010
36.500000, 94.206833, -164.0901
37.000000, 94.219215, -164.3841
37.500000, 94.231430, -164.6841
38.200001, 94.245499, -165.0941
38.700001, 94.253685, -165.3666
39.500000, 94.266685, -165.7738
40.000000, 94.275337, -166.0265
40.599998, 94.285370, -166.3391
41.200001, 94.294327, -166.6583
41.799999, 94.302376, -166.9757
42.500000, 94.310715, -167.3378
43.099998, 94.316437, -167.6334
43.700001, 94.321640, -167.9005
44.400002, 94.331223, -168.1744
45.000000, 94.343170, -168.4107
45.500000, 94.351585, -168.6324
46.200001, 94.354980, -168.9669
46.799999, 94.353630, -169.2419
47.500000, 94.357201, -169.5497
48.200001, 94.364693, -169.8534
48.700001, 94.368752, -170.0410
49.400002, 94.375252, -170.2643
50.000000, 94.381363, -170.4888
50.799999, 94.382950, -170.8462
51.500000, 94.387108, -171.1171
52.200001, 94.397713, -171.3627
53.000000, 94.394806, -171.6215
53.799999, 94.388672, -171.8650
54.500000, 94.393410, -172.2230
55.200001, 94.393356, -172.5490
56.000000, 94.413635, -172.6352
57.000000, 94.415527, -172.9993
58.000000, 94.343491, -173.2889
59.000000, 94.489075, -174.1643
60.000000, 94.510941, -175.8259
60.799999, 94.395584, -175.2511
61.500000, 94.413849, -174.2798
62.200001, 94.443520, -174.3467
63.000000, 94.383286, -174.9007
64.000000, 94.380180, -175.1660
65.000000, 94.418175, -175.5203
66.000000, 94.401848, -175.6537
67.000000, 94.391777, -175.9450
68.000000, 94.384285, -176.2650
69.000000, 94.388824, -176.5298
70.000000, 94.384895, -176.7742
71.000000, 94.390419, -177.0432
72.000000, 94.386490, -177.3228
