# Frequency (Hz), SPL (dB), Phase (degrees)
20.299999, 95.014748, -155.6487
20.600000, 95.035324, -156.0542
20.900000, 95.044647, -156.4240
21.200001, 95.050194, -156.7895
21.400000, 95.054077, -157.0307
21.799999, 95.065788, -157.5079
22.000000, 95.074394, -157.7436
22.400000, 95.096848, -158.2070
22.700001, 95.116951, -158.5441
23.000000, 95.138359, -158.8706
23.299999, 95.159752, -159.1882
23.600000, 95.179802, -159.5016
24.000000, 95.202057, -159.9235
24.299999, 95.213791, -160.2443
24.700001, 95.222244, -160.6648
25.000000, 95.225319, -160.9577
25.400000, 95.231430, -161.3004
25.799999, 95.248634, -161.6001
26.200001, 95.280891, -161.9067
26.500000, 95.311539, -162.1748
26.900000, 95.349678, -162.5936
27.200001, 95.368546, -162.9302
27.600000, 95.375618, -163.3360
28.000000, 95.367577, -163.6237
28.500000, 95.359322, -163.8077
29.000000, 95.376045, -163.9665
29.500000, 95.413612, -164.3083
30.000000, 95.445305, -164.8723
30.400000, 95.454308, -165.3782
30.700001, 95.452667, -165.7172
31.100000, 95.447205, -166.0653
31.500000, 95.447525, -166.3054
32.000000, 95.460693, -166.5496
32.500000, 95.478912, -166.8323
33.000000, 95.489456, -167.1677
33.500000, 95.491196, -167.5067
34.000000, 95.493156, -167.8201
34.500000, 95.501801, -168.1250
35.000000, 95.514854, -168.4440
35.500000, 95.526382, -168.7687
36.000000, 95.533974, -169.0751
36.500000, 95.539543, -169.3572
37.000000, 95.545341, -169.6316
37.500000, 95.551361, -169.9132
38.200001, 95.558426, -170.3117
38.700001, 95.562752, -170.5849
39.500000, 95.570076, -171.0038
40.000000, 95.574135, -171.2648
40.599998, 95.577324, -171.5744
41.200001, 95.580032, -171.8695
41.799999, 95.584358, -172.1550
42.500000, 95.590446, -172.4978
43.099998, 95.593636, -172.7981
43.700001, 95.595276, -173.0849
44.400002, 95.598526, -173.4006
45.000000, 95.602180, -173.6707
45.500000, 95.604454, -173.8997
46.200001, 95.606033, -174.2213
46.799999, 95.606346, -174.4889
47.500000, 95.606339, -174.7767
48.200001, 95.606598, -175.0489
48.700001, 95.605530, -175.2509
49.400002, 95.602219, -175.5411
50.000000, 95.602631, -175.7881
50.799999, 95.606995, -176.1250
51.500000, 95.604050, -176.3825
52.200001, 95.599785, -176.5984
53.000000, 95.597595, -176.9434
53.799999, 95.590469, -177.3042
54.500000, 95.598503, -177.5005
55.200001, 95.606140, -177.7285
56.000000, 95.573318, -177.9696
57.000000, 95.571579, -178.3035
58.000000, 95.586700, -179.0842
59.000000, 95.603828, -178.5259
60.000000, 95.757965, -178.3393
60.799999, 95.687073, -179.3863
61.500000, 95.536438, -179.8286
62.200001, 95.504852, -179.9282
63.000000, 95.548660, 179.6111
64.000000, 95.534363, 179.3183
65.000000, 95.529564, 179.1827
66.000000, 95.507164, 178.7245
67.000000, 95.506485, 178.4853
68.000000, 95.505104, 178.2183
69.000000, 95.481323, 177.9702
70.000000, 95.474312, 177.6815
71.000000, 95.470467, 177.3910
72.000000, 95.456711, 177.1394
73.000000, 95.440720, 176.8672
74.000000, 95.427086, 176.5961
75.000000, 95.420174, 176.3661
76.199997, 95.407112, 176.0541
77.500000, 95.388252, 175.7609
78.800003, 95.372734, 175.4373
80.000000, 95.353676, 175.1538
81.199997, 95.339729, 174.8793
82.500000, 95.319176, 174.5894
83.800003, 95.299774, 174.3222
85.000000, 95.284431, 174.0650
86.199997, 95.270325, 173.7885
87.500000, 95.248840, 173.5162
88.500000, 95.228607, 173.2995
90.000000, 95.207886, 173.0289
91.199997, 95.189613, 172.7825
92.500000, 95.169205, 172.5121
93.800003, 95.151169, 172.2729
95.000000, 95.136513, 172.0655
96.199997, 95.109261, 171.8599
97.500000, 95.089989, 171.6090
98.800003, 95.068748, 171.4051
